region,lat,lon,species_id,gbif_key,basis_of_record,coordinate_uncertainty_m,cell,distance_km,score,effort_percentile,Date,Location_Id,new_mushroom_score,new_black_chant_score,new_parasol_score,new_morel_score,new_st_george_score,new_chant_score,date,old_score,new_score,score_delta,old_percentile,new_percentile,percentile_delta
NE,59.4914,10.860165,chant,6444852592,HUMAN_OBSERVATION,8.0,330:36,3.748426701604493,4.89,0.4128597314605357,2026-07-19,Holen_59.520_10.825,6.362102514003815,3.0128821298973896,5.338878481704864,2.330070147568086,2.8863580386747603,5.9011997499907585,2026-07-19,4.89,5.9011997499907585,1.0111997499907588,0.4128597314605357,0.41307703562489734,0.00021730416436166466
NE,59.981081,10.750471,chant,6444872497,HUMAN_OBSERVATION,5.0,332:35,2.103862791665467,3.98,0.2902576465975777,2026-07-16,Oslo_60.000_10.750,5.257219749360789,2.9347196397812283,4.768125409234362,2.3608893564134332,2.8107666031867797,5.8605381648296095,2026-07-16,3.98,5.8605381648296095,1.8805381648296096,0.2902576465975777,0.3487591650916059,0.05850151849402824
NE,60.449968,6.50524,chant,6444873577,HUMAN_OBSERVATION,10.0,335:21,3.728168482146272,6.93,0.7183220429914027,2026-07-11,Alvik_60.480_6.475,5.7815811494758735,4.29008218686,5.01936794908539,4.121135283582899,4.861624598191022,7.182756699973839,2026-07-11,6.93,7.182756699973839,0.25275669997383954,0.7183220429914027,0.6545523247269543,-0.06376971826444833
NE,59.708869,9.961571,chant,6444878334,HUMAN_OBSERVATION,3.0,331:33,2.276137247396857,5.23,0.4951729905641511,2026-07-19,Kongsberg_59.700_9.925,6.021031413738088,3.1678207895671635,5.359169512756272,2.6397245672710357,2.81396378133765,5.700554319967066,2026-07-19,5.23,5.700554319967066,0.4705543199670652,0.4951729905641511,0.3748228451608273,-0.12035014540332378
NE,63.400005,10.801127,chant,6444901416,HUMAN_OBSERVATION,10.0,351:36,2.5209241920330334,6.1,0.7264023101141479,2026-07-02,Hommelvik_63.420_10.825,5.607117496357816,4.665312995486809,4.74240454598158,4.569827625917173,4.975872415579749,6.92496090100425,2026-07-02,6.1,6.92496090100425,0.8249609010042507,0.7264023101141479,0.87521378587669,0.14881147576254206
NE,63.86153,9.870967,chant,6444938314,HUMAN_OBSERVATION,100.0,354:32,2.6052073038651,7.34,0.971323434445906,2026-07-23,Lysøysund_63.840_9.850,6.191299291586917,4.768332417711133,5.165788517653107,4.137980196947614,4.847546649096787,7.859165175709238,2026-07-23,7.34,7.859165175709238,0.5191651757092384,0.971323434445906,0.9676436400526137,-0.003679794393292246
NE,59.019506,11.098101,chant,6444945509,HUMAN_OBSERVATION,25.0,327:37,3.57330345514932,4.66,0.4722700971391469,2026-07-18,Skjaerhollen_59.040_11.050,6.431955678505714,2.803441215467144,5.291011203566918,2.1749322186487374,2.7164787196627875,5.710812025782983,2026-07-18,4.66,5.710812025782983,1.0508120257829825,0.4722700971391469,0.4412509058685277,-0.031019191270619195
NE,61.135848,21.362984,chant,6445260362,HUMAN_OBSERVATION,1.0,339:71,6.030065855705765,7.55,0.9012913427329032,2026-07-08,Rauma_61.140_21.475,6.097261358185344,4.533973620753972,5.1412879184523534,4.245958372927959,4.740669582726864,8.017251436395323,2026-07-08,7.55,8.017251436395323,0.4672514363953235,0.9012913427329032,0.931203057056266,0.029911714323362815
NE,61.223999,21.709182,chant,6445268443,HUMAN_OBSERVATION,1.0,339:72,2.7134883045056264,7.57,0.9249715430610284,2026-07-07,Eurajoki_61.200_21.700,6.1483630609839715,4.440532948340814,5.222987603685252,4.133975048562216,4.671134261903183,7.884713803721344,2026-07-07,7.57,7.884713803721344,0.31471380372134394,0.9249715430610284,0.8949601602854397,-0.03001138277558868
NE,61.820171,29.645984,chant,6445274388,HUMAN_OBSERVATION,5000.0,343:99,2.252814476756977,6.05,0.5740814220586477,2026-07-05,Punkaharju_61.800_29.650,5.361077349705269,3.8382854487909217,4.888023442917369,3.7276675431360897,3.847318348927035,6.545780704640915,2026-07-05,6.05,6.545780704640915,0.4957807046409153,0.5740814220586477,0.49035273520738704,-0.08372868685126061
NE,62.588554,29.811968,chant,6445301444,HUMAN_OBSERVATION,1000.0,347:99,1.1314473975862418,7.68,0.8493632124712929,2026-07-15,Joensuu_62.580_29.800,6.410297239447784,4.308626904008279,5.283894777058491,3.960466086037193,4.0800941705759985,8.032385756426352,2026-07-15,7.68,8.032385756426352,0.3523857564263526,0.8493632124712929,0.8465736423318724,-0.002789570139420494
NE,52.85,6.25,chant,6447616253,HUMAN_OBSERVATION,5000.0,293:20,1.1119508023357043,6.71,0.6831945938362258,2026-07-09,Boijl_52.860_6.250,6.814539815090554,3.208764374408997,6.216288232264954,2.9533520480641777,3.6712982458902665,7.111881005673423,2026-07-09,6.71,7.111881005673423,0.401881005673423,0.6831945938362258,0.6411693868961331,-0.04202520694009271
NE,62.346663,17.350604,chant,6447680186,HUMAN_OBSERVATION,3.0,346:57,0.7415484000433575,4.62,0.4099708896388154,2026-07-22,Sundsvall_62.340_17.350,5.509476793583197,3.254558520487101,5.202564936017276,2.781577806599474,3.4549883198743454,6.09662698612826,2026-07-22,4.62,6.09662698612826,1.4766269861282595,0.4099708896388154,0.37625125121323594,-0.03371963842557946
NE,65.863993,12.482354,chant,6447683096,HUMAN_OBSERVATION,3.0,365:41,1.8110157487845704,5.31,0.3141421420869747,2026-07-11,Tjøtta_65.880_12.475,5.151353264794921,4.50138994863598,4.208430218244286,4.505498967716758,5.042490417208256,7.555366765746445,2026-07-11,5.31,7.555366765746445,2.2453667657464456,0.3141421420869747,0.7605301699381103,0.44638802785113557
NE,53.0,6.7,chant,6447693501,HUMAN_OBSERVATION,5000.0,294:22,2.223901604670146,7.37,0.8874573145915425,2026-07-07,Anloo_52.980_6.700,7.0515976499932,3.580198712226391,6.060402713444473,3.176241638378342,3.859233056419474,7.297641996164794,2026-07-07,7.37,7.297641996164794,-0.0723580038352063,0.8874573145915425,0.7599089377952907,-0.12754837679625186
NE,52.85,6.8,chant,6447739322,HUMAN_OBSERVATION,5000.0,293:22,2.013475026429967,7.37,0.8874573145915425,2026-07-07,Borger_52.860_6.775,7.008790195877142,3.561947186075301,6.028249496895456,3.143051856089513,3.8199595704157066,7.2743173996303065,2026-07-07,7.37,7.2743173996303065,-0.09568260036969356,0.8874573145915425,0.7524060921013933,-0.13505122249014923
